source_id,source_name,relation,target_id,target_name,evidence
F016,桂枝汤,包含,H049,生姜,《方剂学》教材
F016,桂枝汤,包含,H009,大枣,《方剂学》教材
F017,银翘散,包含,H055,金银花,《方剂学》教材
F017,银翘散,包含,H056,连翘,《方剂学》教材
F017,银翘散,包含,H054,薄荷,《方剂学》教材
F017,银翘散,包含,H058,桑叶,《方剂学》教材
F017,银翘散,包含,H050,荆芥,《方剂学》教材
F017,银翘散,包含,H051,防风,《方剂学》教材
F017,银翘散,包含,H086,桔梗,《方剂学》教材
F017,银翘散,包含,H008,甘草,《方剂学》教材
F017,银翘散,包含,H039,滑石,《方剂学》教材
F017,银翘散,包含,H064,栀子,《方剂学》教材
F018,桑菊饮,包含,H058,桑叶,《方剂学》教材
F018,桑菊饮,包含,H057,菊花,《方剂学》教材
F018,桑菊饮,包含,H054,薄荷,《方剂学》教材
F018,桑菊饮,包含,H050,荆芥,《方剂学》教材
F018,桑菊饮,包含,H051,防风,《方剂学》教材
F018,桑菊饮,包含,H086,桔梗,《方剂学》教材
F018,桑菊饮,包含,H056,连翘,《方剂学》教材
F018,桑菊饮,包含,H008,甘草,《方剂学》教材
F018,桑菊饮,包含,H087,杏仁,《方剂学》教材
F019,小柴胡汤,包含,H059,柴胡,《方剂学》教材
F019,小柴胡汤,包含,H065,黄芩,《方剂学》教材
F019,小柴胡汤,包含,H085,半夏,《方剂学》教材
F019,小柴胡汤,包含,H049,生姜,《方剂学》教材
F019,小柴胡汤,包含,H009,大枣,《方剂学》教材
F019,小柴胡汤,包含,H008,甘草,《方剂学》教材
F019,小柴胡汤,包含,H003,党参,《方剂学》教材
F020,逍遥散,包含,H059,柴胡,《方剂学》教材
F020,逍遥散,包含,H013,白芍,《方剂学》教材
F020,逍遥散,包含,H005,黄芪,《方剂学》教材
F020,逍遥散,包含,H006,白术,《方剂学》教材
F020,逍遥散,包含,H034,茯苓,《方剂学》教材
F020,逍遥散,包含,H054,薄荷,《方剂学》教材
F020,逍遥散,包含,H008,甘草,《方剂学》教材
F020,逍遥散,包含,H049,生姜,《方剂学》教材
F021,白虎汤,包含,H062,石膏,《方剂学》教材
F021,白虎汤,包含,H063,知母,《方剂学》教材
F021,白虎汤,包含,H008,甘草,《方剂学》教材
F021,白虎汤,包含,H037,薏苡仁,《方剂学》教材
F022,黄连解毒汤,包含,H066,黄连,《方剂学》教材
F022,黄连解毒汤,包含,H065,黄芩,《方剂学》教材
F022,黄连解毒汤,包含,H067,黄柏,《方剂学》教材
F022,黄连解毒汤,包含,H064,栀子,《方剂学》教材
F023,龙胆泻肝汤,包含,H068,龙胆,《方剂学》教材
F023,龙胆泻肝汤,包含,H064,栀子,《方剂学》教材
F023,龙胆泻肝汤,包含,H065,黄芩,《方剂学》教材
F023,龙胆泻肝汤,包含,H067,黄柏,《方剂学》教材
F023,龙胆泻肝汤,包含,H034,茯苓,《方剂学》教材
F023,龙胆泻肝汤,包含,H011,当归,《方剂学》教材
F023,龙胆泻肝汤,包含,H013,白芍,《方剂学》教材
F023,龙胆泻肝汤,包含,H069,生地黄,《方剂学》教材
F023,龙胆泻肝汤,包含,H008,甘草,《方剂学》教材
F023,龙胆泻肝汤,包含,H059,柴胡,《方剂学》教材
F024,清营汤,包含,H070,玄参,《方剂学》教材
F024,清营汤,包含,H069,生地黄,《方剂学》教材
F024,清营汤,包含,H071,牡丹皮,《方剂学》教材
F024,清营汤,包含,H072,赤芍,《方剂学》教材
F024,清营汤,包含,H066,黄连,《方剂学》教材
F024,清营汤,包含,H058,桑叶,《方剂学》教材
F024,清营汤,包含,H018,麦冬,《方剂学》教材
F024,清营汤,包含,H056,连翘,《方剂学》教材
F024,清营汤,包含,H008,甘草,《方剂学》教材
F025,平胃散,包含,H041,苍术,《方剂学》教材
F025,平胃散,包含,H042,厚朴,《方剂学》教材
F025,平胃散,包含,H075,陈皮,《方剂学》教材
F025,平胃散,包含,H008,甘草,《方剂学》教材
F025,平胃散,包含,H049,生姜,《方剂学》教材
F025,平胃散,包含,H009,大枣,《方剂学》教材
F026,藿香正气散,包含,H043,藿香,《方剂学》教材
F026,藿香正气散,包含,H042,厚朴,《方剂学》教材
F026,藿香正气散,包含,H075,陈皮,《方剂学》教材
F026,藿香正气散,包含,H041,苍术,《方剂学》教材
F026,藿香正气散,包含,H034,茯苓,《方剂学》教材
F026,藿香正气散,包含,H085,半夏,《方剂学》教材
F026,藿香正气散,包含,H048,紫苏,《方剂学》教材
F026,藿香正气散,包含,H008,甘草,《方剂学》教材
F026,藿香正气散,包含,H049,生姜,《方剂学》教材
F026,藿香正气散,包含,H009,大枣,《方剂学》教材
F026,藿香正气散,包含,H086,桔梗,《方剂学》教材
F027,五苓散,包含,H034,茯苓,《方剂学》教材
F027,五苓散,包含,H035,猪苓,《方剂学》教材
F027,五苓散,包含,H036,泽泻,《方剂学》教材
F027,五苓散,包含,H006,白术,《方剂学》教材
F027,五苓散,包含,H047,桂枝,《方剂学》教材
F028,真武汤,包含,H091,附子,《方剂学》教材
F028,真武汤,包含,H006,白术,《方剂学》教材
F028,真武汤,包含,H034,茯苓,《方剂学》教材
F028,真武汤,包含,H013,白芍,《方剂学》教材
F028,真武汤,包含,H049,生姜,《方剂学》教材
F029,理中丸,包含,H003,党参,《方剂学》教材
F029,理中丸,包含,H006,白术,《方剂学》教材
F029,理中丸,包含,H092,干姜,《方剂学》教材
F029,理中丸,包含,H008,甘草,《方剂学》教材
F030,四逆汤,包含,H091,附子,《方剂学》教材
F030,四逆汤,包含,H092,干姜,《方剂学》教材
F030,四逆汤,包含,H008,甘草,《方剂学》教材
F031,半夏厚朴汤,包含,H085,半夏,《方剂学》教材
F031,半夏厚朴汤,包含,H042,厚朴,《方剂学》教材
F031,半夏厚朴汤,包含,H034,茯苓,《方剂学》教材
F031,半夏厚朴汤,包含,H049,生姜,《方剂学》教材
F031,半夏厚朴汤,包含,H048,紫苏,《方剂学》教材
F032,柴胡疏肝散,包含,H059,柴胡,《方剂学》教材
F032,柴胡疏肝散,包含,H078,香附,《方剂学》教材
F032,柴胡疏肝散,包含,H080,川芎,《方剂学》教材
F032,柴胡疏肝散,包含,H075,陈皮,《方剂学》教材
F032,柴胡疏肝散,包含,H013,白芍,《方剂学》教材
F032,柴胡疏肝散,包含,H008,甘草,《方剂学》教材
F032,柴胡疏肝散,包含,H076,枳壳,《方剂学》教材
F032,柴胡疏肝散,包含,H084,延胡索,《方剂学》教材
F033,越鞠丸,包含,H078,香附,《方剂学》教材
F033,越鞠丸,包含,H080,川芎,《方剂学》教材
F033,越鞠丸,包含,H041,苍术,《方剂学》教材
F033,越鞠丸,包含,H064,栀子,《方剂学》教材
F033,越鞠丸,包含,H095,山楂,《方剂学》教材
F033,越鞠丸,包含,H096,神曲,《方剂学》教材
F033,越鞠丸,包含,H085,半夏,《方剂学》教材
F034,血府逐瘀汤,包含,H080,川芎,《方剂学》教材
F034,血府逐瘀汤,包含,H011,当归,《方剂学》教材
F034,血府逐瘀汤,包含,H013,白芍,《方剂学》教材
F034,血府逐瘀汤,包含,H012,熟地黄,《方剂学》教材
F034,血府逐瘀汤,包含,H082,桃仁,《方剂学》教材
F034,血府逐瘀汤,包含,H083,红花,《方剂学》教材
F034,血府逐瘀汤,包含,H059,柴胡,《方剂学》教材
F034,血府逐瘀汤,包含,H075,陈皮,《方剂学》教材
F034,血府逐瘀汤,包含,H008,甘草,《方剂学》教材
F034,血府逐瘀汤,包含,H071,牡丹皮,《方剂学》教材
F034,血府逐瘀汤,包含,H060,升麻,《方剂学》教材
F035,补阳还五汤,包含,H005,黄芪,《方剂学》教材
F035,补阳还五汤,包含,H080,川芎,《方剂学》教材
F035,补阳还五汤,包含,H011,当归,《方剂学》教材
F035,补阳还五汤,包含,H083,红花,《方剂学》教材
F035,补阳还五汤,包含,H082,桃仁,《方剂学》教材
F035,补阳还五汤,包含,H074,地骨皮,《方剂学》教材
F035,补阳还五汤,包含,H072,赤芍,《方剂学》教材
F036,川芎茶调散,包含,H080,川芎,《方剂学》教材
F036,川芎茶调散,包含,H052,羌活,《方剂学》教材
F036,川芎茶调散,包含,H051,防风,《方剂学》教材
F036,川芎茶调散,包含,H054,薄荷,《方剂学》教材
F036,川芎茶调散,包含,H050,荆芥,《方剂学》教材
F036,川芎茶调散,包含,H053,白芷,《方剂学》教材
F036,川芎茶调散,包含,H008,甘草,《方剂学》教材
F037,半夏白术天麻汤,包含,H085,半夏,《方剂学》教材
F037,半夏白术天麻汤,包含,H006,白术,《方剂学》教材
F037,半夏白术天麻汤,包含,H099,天麻,《方剂学》教材
F037,半夏白术天麻汤,包含,H075,陈皮,《方剂学》教材
F037,半夏白术天麻汤,包含,H034,茯苓,《方剂学》教材
F037,半夏白术天麻汤,包含,H049,生姜,《方剂学》教材
F038,保和丸,包含,H095,山楂,《方剂学》教材
F038,保和丸,包含,H096,神曲,《方剂学》教材
F038,保和丸,包含,H097,麦芽,《方剂学》教材
F038,保和丸,包含,H085,半夏,《方剂学》教材
F038,保和丸,包含,H006,白术,《方剂学》教材
F038,保和丸,包含,H034,茯苓,《方剂学》教材
F038,保和丸,包含,H075,陈皮,《方剂学》教材
F038,保和丸,包含,H056,连翘,《方剂学》教材
F039,二陈汤,包含,H085,半夏,《方剂学》教材
F039,二陈汤,包含,H075,陈皮,《方剂学》教材
F039,二陈汤,包含,H034,茯苓,《方剂学》教材
F039,二陈汤,包含,H008,甘草,《方剂学》教材
F039,二陈汤,包含,H049,生姜,《方剂学》教材
F040,止嗽散,包含,H085,半夏,《方剂学》教材
F040,止嗽散,包含,H075,陈皮,《方剂学》教材
F040,止嗽散,包含,H034,茯苓,《方剂学》教材
F040,止嗽散,包含,H008,甘草,《方剂学》教材
F040,止嗽散,包含,H049,生姜,《方剂学》教材
F040,止嗽散,包含,H087,杏仁,《方剂学》教材
F040,止嗽散,包含,H086,桔梗,《方剂学》教材
F040,止嗽散,包含,H050,荆芥,《方剂学》教材
F040,止嗽散,包含,H048,紫苏,《方剂学》教材
S001,,提示,Z001,心脾两虚,《中医诊断学》
S002,,提示,Z001,心脾两虚,《中医诊断学》
S003,,提示,Z001,心脾两虚,《中医诊断学》
S004,,提示,Z001,心脾两虚,《中医诊断学》
S005,,提示,Z001,心脾两虚,《中医诊断学》
S009,,提示,Z001,心脾两虚,《中医诊断学》
S010,,提示,Z001,心脾两虚,《中医诊断学》
S013,,提示,Z001,心脾两虚,《中医诊断学》
S026,,提示,Z001,心脾两虚,《中医诊断学》
S034,,提示,Z001,心脾两虚,《中医诊断学》
S035,,提示,Z001,心脾两虚,《中医诊断学》
S066,,提示,Z001,心脾两虚,《中医诊断学》
S001,,提示,Z002,心肾不交,《中医诊断学》
S003,,提示,Z002,心肾不交,《中医诊断学》
S005,,提示,Z002,心肾不交,《中医诊断学》
S020,,提示,Z002,心肾不交,《中医诊断学》
S049,,提示,Z002,心肾不交,《中医诊断学》
S051,,提示,Z002,心肾不交,《中医诊断学》
S055,,提示,Z002,心肾不交,《中医诊断学》
S056,,提示,Z002,心肾不交,《中医诊断学》
S057,,提示,Z002,心肾不交,《中医诊断学》
S069,,提示,Z002,心肾不交,《中医诊断学》
S009,,提示,Z003,脾胃气虚,《中医诊断学》
S010,,提示,Z003,脾胃气虚,《中医诊断学》
S011,,提示,Z003,脾胃气虚,《中医诊断学》
S012,,提示,Z003,脾胃气虚,《中医诊断学》
S013,,提示,Z003,脾胃气虚,《中医诊断学》
S024,,提示,Z003,脾胃气虚,《中医诊断学》
S029,,提示,Z003,脾胃气虚,《中医诊断学》
S034,,提示,Z003,脾胃气虚,《中医诊断学》
S035,,提示,Z003,脾胃气虚,《中医诊断学》
S036,,提示,Z003,脾胃气虚,《中医诊断学》
S040,,提示,Z003,脾胃气虚,《中医诊断学》
S067,,提示,Z003,脾胃气虚,《中医诊断学》
S009,,提示,Z004,气血两虚,《中医诊断学》
S010,,提示,Z004,气血两虚,《中医诊断学》
S011,,提示,Z004,气血两虚,《中医诊断学》
S013,,提示,Z004,气血两虚,《中医诊断学》
S014,,提示,Z004,气血两虚,《中医诊断学》
S017,,提示,Z004,气血两虚,《中医诊断学》
S003,,提示,Z004,气血两虚,《中医诊断学》
S025,,提示,Z004,气血两虚,《中医诊断学》
S066,,提示,Z004,气血两虚,《中医诊断学》
S067,,提示,Z004,气血两虚,《中医诊断学》
S073,,提示,Z004,气血两虚,《中医诊断学》
S074,,提示,Z004,气血两虚,《中医诊断学》
S001,,提示,Z005,肝血不足,《中医诊断学》
S002,,提示,Z005,肝血不足,《中医诊断学》
S017,,提示,Z005,肝血不足,《中医诊断学》
S018,,提示,Z005,肝血不足,《中医诊断学》
S052,,提示,Z005,肝血不足,《中医诊断学》
S066,,提示,Z005,肝血不足,《中医诊断学》
S073,,提示,Z005,肝血不足,《中医诊断学》
S074,,提示,Z005,肝血不足,《中医诊断学》
S075,,提示,Z005,肝血不足,《中医诊断学》
S076,,提示,Z005,肝血不足,《中医诊断学》
S001,,提示,Z006,阴虚血少,《中医诊断学》
S003,,提示,Z006,阴虚血少,《中医诊断学》
S005,,提示,Z006,阴虚血少,《中医诊断学》
S021,,提示,Z006,阴虚血少,《中医诊断学》
S027,,提示,Z006,阴虚血少,《中医诊断学》
S033,,提示,Z006,阴虚血少,《中医诊断学》
S051,,提示,Z006,阴虚血少,《中医诊断学》
S055,,提示,Z006,阴虚血少,《中医诊断学》
S056,,提示,Z006,阴虚血少,《中医诊断学》
S057,,提示,Z006,阴虚血少,《中医诊断学》
S069,,提示,Z006,阴虚血少,《中医诊断学》
S010,,提示,Z007,中气下陷,《中医诊断学》
S011,,提示,Z007,中气下陷,《中医诊断学》
S012,,提示,Z007,中气下陷,《中医诊断学》
S036,,提示,Z007,中气下陷,《中医诊断学》
S047,,提示,Z007,中气下陷,《中医诊断学》
S053,,提示,Z007,中气下陷,《中医诊断学》
S067,,提示,Z007,中气下陷,《中医诊断学》
S013,,提示,Z008,血虚证,《中医诊断学》
S014,,提示,Z008,血虚证,《中医诊断学》
S015,,提示,Z008,血虚证,《中医诊断学》
S017,,提示,Z008,血虚证,《中医诊断学》
S018,,提示,Z008,血虚证,《中医诊断学》
S025,,提示,Z008,血虚证,《中医诊断学》
S003,,提示,Z008,血虚证,《中医诊断学》
S052,,提示,Z008,血虚证,《中医诊断学》
S066,,提示,Z008,血虚证,《中医诊断学》
S073,,提示,Z008,血虚证,《中医诊断学》
S074,,提示,Z008,血虚证,《中医诊断学》
S075,,提示,Z008,血虚证,《中医诊断学》
S009,,提示,Z009,气虚证,《中医诊断学》
S010,,提示,Z009,气虚证,《中医诊断学》
S011,,提示,Z009,气虚证,《中医诊断学》
S012,,提示,Z009,气虚证,《中医诊断学》
S054,,提示,Z009,气虚证,《中医诊断学》
S066,,提示,Z009,气虚证,《中医诊断学》
S067,,提示,Z009,气虚证,《中医诊断学》
S079,,提示,Z009,气虚证,《中医诊断学》
S021,,提示,Z010,阴虚证,《中医诊断学》
S027,,提示,Z010,阴虚证,《中医诊断学》
S033,,提示,Z010,阴虚证,《中医诊断学》
S051,,提示,Z010,阴虚证,《中医诊断学》
S055,,提示,Z010,阴虚证,《中医诊断学》
S056,,提示,Z010,阴虚证,《中医诊断学》
S057,,提示,Z010,阴虚证,《中医诊断学》
S069,,提示,Z010,阴虚证,《中医诊断学》
S023,,提示,Z011,阳虚证,《中医诊断学》
S028,,提示,Z011,阳虚证,《中医诊断学》
S030,,提示,Z011,阳虚证,《中医诊断学》
S050,,提示,Z011,阳虚证,《中医诊断学》
S060,,提示,Z011,阳虚证,《中医诊断学》
S068,,提示,Z011,阳虚证,《中医诊断学》
S036,,提示,Z012,肝气郁结,《中医诊断学》
S044,,提示,Z012,肝气郁结,《中医诊断学》
S045,,提示,Z012,肝气郁结,《中医诊断学》
S047,,提示,Z012,肝气郁结,《中医诊断学》
S062,,提示,Z012,肝气郁结,《中医诊断学》
S063,,提示,Z012,肝气郁结,《中医诊断学》
S064,,提示,Z012,肝气郁结,《中医诊断学》
S065,,提示,Z012,肝气郁结,《中医诊断学》
S070,,提示,Z012,肝气郁结,《中医诊断学》
S076,,提示,Z012,肝气郁结,《中医诊断学》
S001,,提示,Z013,肝火炽盛,《中医诊断学》
S005,,提示,Z013,肝火炽盛,《中医诊断学》
S016,,提示,Z013,肝火炽盛,《中医诊断学》
S017,,提示,Z013,肝火炽盛,《中医诊断学》
S019,,提示,Z013,肝火炽盛,《中医诊断学》
S022,,提示,Z013,肝火炽盛,《中医诊断学》
S027,,提示,Z013,肝火炽盛,《中医诊断学》
S031,,提示,Z013,肝火炽盛,《中医诊断学》
S063,,提示,Z013,肝火炽盛,《中医诊断学》
S069,,提示,Z013,肝火炽盛,《中医诊断学》
S022,,提示,Z014,湿热蕴脾,《中医诊断学》
S031,,提示,Z014,湿热蕴脾,《中医诊断学》
S032,,提示,Z014,湿热蕴脾,《中医诊断学》
S036,,提示,Z014,湿热蕴脾,《中医诊断学》
S037,,提示,Z014,湿热蕴脾,《中医诊断学》
S040,,提示,Z014,湿热蕴脾,《中医诊断学》
S043,,提示,Z014,湿热蕴脾,《中医诊断学》
S071,,提示,Z014,湿热蕴脾,《中医诊断学》
S019,,提示,Z015,风寒表证,《中医诊断学》
S030,,提示,Z015,风寒表证,《中医诊断学》
S058,,提示,Z015,风寒表证,《中医诊断学》
S059,,提示,Z015,风寒表证,《中医诊断学》
S072,,提示,Z015,风寒表证,《中医诊断学》
S078,,提示,Z015,风寒表证,《中医诊断学》
S079,,提示,Z015,风寒表证,《中医诊断学》
S017,,提示,Z016,风热表证,《中医诊断学》
S021,,提示,Z016,风热表证,《中医诊断学》
S023,,提示,Z016,风热表证,《中医诊断学》
S027,,提示,Z016,风热表证,《中医诊断学》
S031,,提示,Z016,风热表证,《中医诊断学》
S058,,提示,Z016,风热表证,《中医诊断学》
S069,,提示,Z016,风热表证,《中医诊断学》
S078,,提示,Z016,风热表证,《中医诊断学》
S005,,提示,Z017,气分热盛,《中医诊断学》
S016,,提示,Z017,气分热盛,《中医诊断学》
S023,,提示,Z017,气分热盛,《中医诊断学》
S027,,提示,Z017,气分热盛,《中医诊断学》
S031,,提示,Z017,气分热盛,《中医诊断学》
S058,,提示,Z017,气分热盛,《中医诊断学》
S069,,提示,Z017,气分热盛,《中医诊断学》
S001,,提示,Z018,心火亢盛,《中医诊断学》
S003,,提示,Z018,心火亢盛,《中医诊断学》
S005,,提示,Z018,心火亢盛,《中医诊断学》
S016,,提示,Z018,心火亢盛,《中医诊断学》
S021,,提示,Z018,心火亢盛,《中医诊断学》
S022,,提示,Z018,心火亢盛,《中医诊断学》
S027,,提示,Z018,心火亢盛,《中医诊断学》
S031,,提示,Z018,心火亢盛,《中医诊断学》
S069,,提示,Z018,心火亢盛,《中医诊断学》
S017,,提示,Z019,痰湿内阻,《中医诊断学》
S032,,提示,Z019,痰湿内阻,《中医诊断学》
S036,,提示,Z019,痰湿内阻,《中医诊断学》
S037,,提示,Z019,痰湿内阻,《中医诊断学》
S038,,提示,Z019,痰湿内阻,《中医诊断学》
S071,,提示,Z019,痰湿内阻,《中医诊断学》
S078,,提示,Z019,痰湿内阻,《中医诊断学》
S080,,提示,Z019,痰湿内阻,《中医诊断学》
S019,,提示,Z020,血瘀证,《中医诊断学》
S044,,提示,Z020,血瘀证,《中医诊断学》
S046,,提示,Z020,血瘀证,《中医诊断学》
S047,,提示,Z020,血瘀证,《中医诊断学》
S048,,提示,Z020,血瘀证,《中医诊断学》
S050,,提示,Z020,血瘀证,《中医诊断学》
S068,,提示,Z020,血瘀证,《中医诊断学》
S073,,提示,Z020,血瘀证,《中医诊断学》
S077,,提示,Z020,血瘀证,《中医诊断学》
S010,,提示,Z021,脾虚湿困,《中医诊断学》
S028,,提示,Z021,脾虚湿困,《中医诊断学》
S029,,提示,Z021,脾虚湿困,《中医诊断学》
S030,,提示,Z021,脾虚湿困,《中医诊断学》
S036,,提示,Z021,脾虚湿困,《中医诊断学》
S037,,提示,Z021,脾虚湿困,《中医诊断学》
S040,,提示,Z021,脾虚湿困,《中医诊断学》
S042,,提示,Z021,脾虚湿困,《中医诊断学》
S020,,提示,Z022,肾阴虚,《中医诊断学》
S027,,提示,Z022,肾阴虚,《中医诊断学》
S033,,提示,Z022,肾阴虚,《中医诊断学》
S048,,提示,Z022,肾阴虚,《中医诊断学》
S049,,提示,Z022,肾阴虚,《中医诊断学》
S051,,提示,Z022,肾阴虚,《中医诊断学》
S055,,提示,Z022,肾阴虚,《中医诊断学》
S056,,提示,Z022,肾阴虚,《中医诊断学》
S023,,提示,Z023,肾阳虚,《中医诊断学》
S028,,提示,Z023,肾阳虚,《中医诊断学》
S030,,提示,Z023,肾阳虚,《中医诊断学》
S048,,提示,Z023,肾阳虚,《中医诊断学》
S049,,提示,Z023,肾阳虚,《中医诊断学》
S050,,提示,Z023,肾阳虚,《中医诊断学》
S053,,提示,Z023,肾阳虚,《中医诊断学》
S060,,提示,Z023,肾阳虚,《中医诊断学》
S068,,提示,Z023,肾阳虚,《中医诊断学》
S035,,提示,Z024,胃气不和,《中医诊断学》
S036,,提示,Z024,胃气不和,《中医诊断学》
S037,,提示,Z024,胃气不和,《中医诊断学》
S038,,提示,Z024,胃气不和,《中医诊断学》
S039,,提示,Z024,胃气不和,《中医诊断学》
S041,,提示,Z024,胃气不和,《中医诊断学》
S016,,提示,Z025,肝阳上亢,《中医诊断学》
